state	power	likelihood
2510	1	-41.7672
2520	1	-41.7483
2530	1	-42.5881
2540	1	-41.8836
2550	1	-42.0071
2560	1	-42.0533
2570	1	-41.7492
2580	1	-41.9199
2590	1	-41.765
2600	1	-41.7897
2610	1	-44.5515
2620	1	-41.8342
2630	1	-42.1433
2640	1	-41.7946
2650	1	-41.8163
2660	1	-41.7703
2670	1	-42.4588
2680	1	-41.7565
2690	1	-41.7492
2700	1	-41.748
2710	1	-42.7026
2720	1	-41.7518
2730	1	-42.147
2740	1	-42.6167
2750	1	-41.7849
2760	1	-41.8133
2770	1	-41.846
2780	1	-42.756
2790	1	-41.7746
2800	1	-41.9498
2810	1	-41.7875
2820	1	-41.7481
2830	1	-41.7648
2840	1	-41.7508
2850	1	-41.7689
2860	1	-41.9439
2870	1	-41.9547
2880	1	-41.7651
2890	1	-44.1835
2900	1	-41.9363
2910	1	-41.7935
2920	1	-41.7486
2930	1	-44.3941
2940	1	-42.2975
2950	1	-41.9341
2960	1	-41.7482
2970	1	-42.3168
2980	1	-43.3092
2990	1	-41.7544
3000	1	-42.0642
3010	1	-42.1226
3020	1	-42.6608
3030	1	-43.0249
3040	1	-41.8095
3050	1	-41.9704
3060	1	-41.9457
3070	1	-41.865
3080	1	-42.1976
3090	1	-41.7482
3100	1	-41.8739
3110	1	-42.5978
3120	1	-41.8702
3130	1	-41.9958
3140	1	-41.9324
3150	1	-42.6349
3160	1	-41.7734
3170	1	-41.8932
3180	1	-42.1181
3190	1	-42.1828
3200	1	-42.8824
3210	1	-46.9495
3220	1	-41.7757
3230	1	-41.7602
3240	1	-42.0311
3250	1	-42.0522
3260	1	-42.1293
3270	1	-42.982
3280	1	-41.7479
3290	1	-42.2597
3300	1	-41.7696
3310	1	-41.9107
3320	1	-41.8513
3330	1	-41.7582
3340	1	-41.7605
3350	1	-41.8201
3360	1	-42.0155
3370	1	-42.1335
3380	1	-41.8264
3390	1	-42.0958
3400	1	-41.8022
3410	1	-42.0942
3420	1	-41.9789
3430	1	-41.7602
3440	1	-42.1501
3450	1	-42.2586
3460	1	-42.0427
3470	1	-41.7882
3480	1	-41.9003
3490	1	-42.1104
3500	1	-41.748
3510	1	-41.8889
3520	1	-41.8116
3530	1	-42.0777
3540	1	-41.8739
3550	1	-41.8397
3560	1	-41.7482
3570	1	-41.8856
3580	1	-41.7755
3590	1	-41.7494
3600	1	-42.0054
3610	1	-42.0668
3620	1	-41.7507
3630	1	-42.0038
3640	1	-42.0843
3650	1	-43.6764
3660	1	-41.8053
3670	1	-42.0706
3680	1	-42.141
3690	1	-42.3579
3700	1	-41.9926
3710	1	-41.8645
3720	1	-42.0746
3730	1	-41.8203
3740	1	-41.7567
3750	1	-41.7507
3760	1	-43.1279
3770	1	-42.5368
3780	1	-42.0605
3790	1	-41.7902
3800	1	-41.7781
3810	1	-42.0587
3820	1	-41.8295
3830	1	-41.7506
3840	1	-41.8792
3850	1	-41.9167
3860	1	-42.1278
3870	1	-41.7503
3880	1	-41.9513
3890	1	-42.434
3900	1	-42.0521
3910	1	-42.0459
3920	1	-41.7747
3930	1	-42.8283
3940	1	-41.7775
3950	1	-41.901
3960	1	-41.7839
3970	1	-42.0842
3980	1	-43.875
3990	1	-41.7879
4000	1	-46.4871
4010	1	-42.0297
4020	1	-43.2048
4030	1	-41.7891
4040	1	-41.7624
4050	1	-42.2383
4060	1	-42.1131
4070	1	-41.8103
4080	1	-41.9572
4090	1	-41.7712
4100	1	-42.0339
4110	1	-43.2954
4120	1	-42.0839
4130	1	-42.275
4140	1	-41.8417
4150	1	-41.8279
4160	1	-41.7809
4170	1	-41.749
4180	1	-42.0133
4190	1	-41.9397
4200	1	-41.7963
4210	1	-41.8766
4220	1	-42.9208
4230	1	-42.3356
4240	1	-42.3615
4250	1	-42.9782
4260	1	-41.7599
4270	1	-41.7489
4280	1	-43.7695
4290	1	-41.7857
4300	1	-41.8692
4310	1	-41.7504
4320	1	-41.8672
4330	1	-41.7648
4340	1	-41.8104
4350	1	-41.8114
4360	1	-42.0506
4370	1	-42.7425
4380	1	-42.1418
4390	1	-42.7117
4400	1	-42.7329
4410	1	-41.8239
4420	1	-41.804
4430	1	-42.0587
4440	1	-41.9654
4450	1	-42.616
4460	1	-41.7646
4470	1	-41.7797
4480	1	-42.1185
4490	1	-42.1363
