state	power	likelihood
2510	1	-41.788
2520	1	-43.4909
2530	1	-41.8042
2540	1	-41.9015
2550	1	-41.7591
2560	1	-41.8388
2570	1	-41.8316
2580	1	-43.4101
2590	1	-42.1603
2600	1	-42.0912
2610	1	-43.7029
2620	1	-43.588
2630	1	-42.0491
2640	1	-41.7653
2650	1	-41.8499
2660	1	-42.0747
2670	1	-41.8673
2680	1	-41.9175
2690	1	-41.782
2700	1	-41.7837
2710	1	-41.8174
2720	1	-41.9723
2730	1	-41.8485
2740	1	-41.9579
2750	1	-41.9324
2760	1	-41.7675
2770	1	-41.8623
2780	1	-41.7649
2790	1	-42.3026
2800	1	-41.7851
2810	1	-41.9173
2820	1	-42.43
2830	1	-41.78
2840	1	-41.7823
2850	1	-41.8783
2860	1	-41.9785
2870	1	-41.8772
2880	1	-41.7572
2890	1	-41.8989
2900	1	-41.767
2910	1	-42.0424
2920	1	-41.7557
2930	1	-41.7555
2940	1	-42.897
2950	1	-41.7662
2960	1	-41.7562
2970	1	-41.7694
2980	1	-41.8851
2990	1	-41.7581
3000	1	-42.0036
3010	1	-41.7631
3020	1	-41.7829
3030	1	-41.8894
3040	1	-41.9104
3050	1	-41.9365
3060	1	-41.7552
3070	1	-41.7883
3080	1	-41.7965
3090	1	-44.7068
3100	1	-41.7723
3110	1	-41.791
3120	1	-42.1354
3130	1	-41.762
3140	1	-41.8646
3150	1	-41.8117
3160	1	-42.0114
3170	1	-42.4566
3180	1	-41.7626
3190	1	-41.7613
3200	1	-41.7914
3210	1	-41.7635
3220	1	-41.7529
3230	1	-42.1355
3240	1	-41.9115
3250	1	-41.7849
3260	1	-41.853
3270	1	-41.942
3280	1	-41.983
3290	1	-42.7704
3300	1	-42.22
3310	1	-41.8447
3320	1	-41.8401
3330	1	-42.0241
3340	1	-41.7541
3350	1	-41.7577
3360	1	-41.9833
3370	1	-41.7655
3380	1	-41.8051
3390	1	-41.7641
3400	1	-41.7559
3410	1	-42.0719
3420	1	-41.7972
3430	1	-41.7597
3440	1	-41.7664
3450	1	-42.0056
3460	1	-42.3813
3470	1	-41.8414
3480	1	-41.8629
3490	1	-41.7803
3500	1	-41.8306
3510	1	-42.3983
3520	1	-42.1833
3530	1	-42.0281
3540	1	-42.5873
3550	1	-41.7654
3560	1	-41.8164
3570	1	-41.9291
3580	1	-41.8197
3590	1	-41.7568
3600	1	-41.9792
3610	1	-41.8024
3620	1	-43.0017
3630	1	-41.9475
3640	1	-42.8752
3650	1	-41.8254
3660	1	-41.7731
3670	1	-45.7155
3680	1	-42.0154
3690	1	-41.8026
3700	1	-41.7532
3710	1	-43.2258
3720	1	-41.891
3730	1	-41.7882
3740	1	-41.8586
3750	1	-41.8845
3760	1	-41.7927
3770	1	-42.5697
3780	1	-43.2907
3790	1	-41.8728
3800	1	-41.7899
3810	1	-42.3645
3820	1	-41.7623
3830	1	-41.7597
3840	1	-41.9169
3850	1	-41.7511
3860	1	-42.1459
3870	1	-42.1733
3880	1	-41.7524
3890	1	-41.829
3900	1	-41.9638
3910	1	-41.9506
3920	1	-42.0729
3930	1	-42.4068
3940	1	-41.8336
3950	1	-41.786
3960	1	-41.7671
3970	1	-42.3325
3980	1	-41.7577
3990	1	-41.9648
4000	1	-42.751
4010	1	-41.7609
4020	1	-41.9502
4030	1	-41.828
4040	1	-42.2106
4050	1	-41.7694
4060	1	-41.8164
4070	1	-41.8136
4080	1	-41.9013
4090	1	-42.6161
4100	1	-41.7679
4110	1	-41.7968
4120	1	-42.1799
4130	1	-41.9046
4140	1	-41.7642
4150	1	-41.811
4160	1	-41.8121
4170	1	-43.4132
4180	1	-41.7865
4190	1	-41.9019
4200	1	-42.3019
4210	1	-44.9228
4220	1	-41.8274
4230	1	-41.7575
4240	1	-42.5059
4250	1	-42.2234
4260	1	-42.4071
4270	1	-42.733
4280	1	-42.1996
4290	1	-41.7567
4300	1	-41.8568
4310	1	-41.8687
4320	1	-42.5164
4330	1	-41.7975
4340	1	-42.0256
4350	1	-42.0085
4360	1	-41.7536
4370	1	-42.0518
4380	1	-41.9788
4390	1	-42.8196
4400	1	-41.7967
4410	1	-41.7589
4420	1	-43.3148
4430	1	-41.8429
4440	1	-42.2206
4450	1	-41.8157
4460	1	-41.761
4470	1	-41.756
4480	1	-41.8163
4490	1	-41.7798
4500	1	-42.1181
4510	1	-42.8002
4520	1	-41.9087
4530	1	-41.7717
4540	1	-41.7597
4550	1	-41.9252
4560	1	-41.8869
4570	1	-41.7749
4580	1	-41.7784
4590	1	-41.8941
4600	1	-41.9457
4610	1	-43.5372
4620	1	-41.7803
4630	1	-42.4273
4640	1	-42.0419
4650	1	-41.7533
4660	1	-41.8552
4670	1	-41.8599
4680	1	-41.7744
4690	1	-42.0291
4700	1	-41.8658
4710	1	-42.1209
4720	1	-41.93
4730	1	-42.2241
4740	1	-41.7602
4750	1	-41.754
4760	1	-41.7939
4770	1	-41.8125
4780	1	-41.8341
4790	1	-41.7609
4800	1	-42.1696
4810	1	-43.0914
4820	1	-41.8248
4830	1	-41.7809
4840	1	-41.8253
4850	1	-41.9002
4860	1	-42.9864
4870	1	-42.131
4880	1	-41.9156
4890	1	-42.0219
4900	1	-41.8236
4910	1	-41.7973
4920	1	-41.8538
4930	1	-41.8621
4940	1	-41.8512
4950	1	-41.7688
4960	1	-42.2248
4970	1	-42.2874
4980	1	-41.9057
4990	1	-41.8617
5000	1	-41.7753
5010	1	-41.8443
5020	1	-41.8012
5030	1	-41.7709
5040	1	-41.7748
5050	1	-41.7909
5060	1	-41.779
5070	1	-42.433
5080	1	-42.4612
5090	1	-41.8061
5100	1	-41.8923
5110	1	-42.0035
5120	1	-42.0733
5130	1	-41.8432
5140	1	-42.6044
5150	1	-41.9402
5160	1	-41.7602
5170	1	-42.0082
5180	1	-41.9785
5190	1	-41.7626
5200	1	-41.7577
5210	1	-41.8066
5220	1	-44.6562
5230	1	-41.9701
5240	1	-42.1858
5250	1	-41.7894
5260	1	-41.9884
5270	1	-42.4404
5280	1	-41.8323
5290	1	-41.7754
5300	1	-41.825
5310	1	-42.3727
5320	1	-41.8096
5330	1	-42.4772
5340	1	-41.9871
5350	1	-41.7634
5360	1	-42.2635
5370	1	-41.9197
5380	1	-41.7611
5390	1	-41.7742
5400	1	-41.7567
5410	1	-42.3839
5420	1	-42.0652
5430	1	-41.8635
5440	1	-41.7865
5450	1	-41.791
5460	1	-41.7562
5470	1	-41.7657
5480	1	-42.3347
5490	1	-41.9479
5500	1	-41.7521
5510	1	-42.156
5520	1	-41.7623
5530	1	-43.2367
5540	1	-42.6348
5550	1	-41.7666
5560	1	-41.8622
5570	1	-41.8234
5580	1	-41.991
5590	1	-41.7612
5600	1	-42.4004
5610	1	-42.6223
5620	1	-41.7626
5630	1	-41.7824
5640	1	-42.4237
5650	1	-41.7663
5660	1	-41.7816
5670	1	-43.7615
5680	1	-41.8569
5690	1	-41.8153
5700	1	-41.8996
5710	1	-41.8075
5720	1	-41.9589
5730	1	-41.7861
5740	1	-41.8627
5750	1	-41.775
5760	1	-41.7593
5770	1	-41.8885
5780	1	-41.8352
5790	1	-42.5179
5800	1	-42.1565
5810	1	-41.9053
5820	1	-41.8007
5830	1	-41.8814
5840	1	-42.167
5850	1	-42.4604
5860	1	-41.7637
5870	1	-41.7774
5880	1	-41.7609
5890	1	-41.8044
5900	1	-41.9746
5910	1	-41.9828
5920	1	-41.953
5930	1	-42.0778
5940	1	-42.178
5950	1	-41.767
5960	1	-41.9428
5970	1	-41.7833
5980	1	-41.8107
5990	1	-42.4817
6000	1	-42.6282
6010	1	-42.431
6020	1	-42.7125
6030	1	-41.7698
6040	1	-41.7815
6050	1	-41.8041
6060	1	-41.7969
6070	1	-41.8298
6080	1	-42.5445
6090	1	-42.2243
6100	1	-44.7485
6110	1	-43.9899
6120	1	-41.7887
6130	1	-42.3778
6140	1	-41.8858
6150	1	-41.7787
6160	1	-41.7501
6170	1	-41.7755
6180	1	-41.7677
6190	1	-41.816
6200	1	-42.2574
6210	1	-44.8504
6220	1	-41.9956
6230	1	-41.9606
6240	1	-42.2749
6250	1	-41.9612
6260	1	-41.9894
6270	1	-41.7872
6280	1	-41.8119
6290	1	-41.7523
6300	1	-42.5548
6310	1	-41.8587
6320	1	-42.2726
6330	1	-42.2697
6340	1	-41.9748
6350	1	-41.7626
6360	1	-41.801
6370	1	-42.3363
6380	1	-41.8529
6390	1	-46.2303
6400	1	-41.765
6410	1	-41.7659
6420	1	-42.0257
6430	1	-41.8294
6440	1	-42.3899
6450	1	-41.8759
6460	1	-42.1968
6470	1	-42.1862
6480	1	-41.8496
6490	1	-41.7817
6500	1	-41.8744
6510	1	-42.4601
6520	1	-41.8873
6530	1	-41.8935
6540	1	-41.7889
6550	1	-41.842
6560	1	-41.8694
6570	1	-41.8111
6580	1	-43.871
6590	1	-42.2562
6600	1	-41.7958
6610	1	-43.4087
6620	1	-41.8243
6630	1	-42.6991
6640	1	-42.2225
6650	1	-41.7627
6660	1	-41.7633
6670	1	-42.1057
6680	1	-41.7788
6690	1	-42.8112
6700	1	-42.0555
6710	1	-41.8
6720	1	-41.7613
6730	1	-41.8631
6740	1	-42.6735
6750	1	-41.8907
6760	1	-41.9864
6770	1	-41.9457
6780	1	-41.764
6790	1	-41.7564
6800	1	-41.8544
6810	1	-41.764
6820	1	-41.7887
6830	1	-42.1579
6840	1	-41.7575
6850	1	-41.8304
6860	1	-41.8134
6870	1	-41.8898
6880	1	-41.8186
6890	1	-41.7636
6900	1	-41.8136
6910	1	-41.7711
6920	1	-42.0256
6930	1	-41.8003
6940	1	-41.76
6950	1	-41.7736
6960	1	-41.7727
6970	1	-42.6053
6980	1	-42.3148
6990	1	-41.8218
7000	1	-41.7981
7010	1	-41.8313
7020	1	-42.6296
7030	1	-41.7884
7040	1	-42.0049
7050	1	-41.7566
7060	1	-41.749
7070	1	-42.0628
7080	1	-41.8555
7090	1	-41.823
7100	1	-41.7751
7110	1	-41.7834
7120	1	-41.866
7130	1	-42.0882
7140	1	-41.7997
7150	1	-41.7744
7160	1	-41.8697
7170	1	-41.8103
7180	1	-41.7557
7190	1	-42.5726
7200	1	-41.7624
7210	1	-41.956
7220	1	-41.8155
7230	1	-41.974
7240	1	-42.3799
7250	1	-41.7762
7260	1	-41.9034
7270	1	-41.7948
7280	1	-41.8681
7290	1	-43.3209
7300	1	-41.9646
7310	1	-41.7619
